"Title","Description"
"FR33: Implement SRD Skills","The system shall implement the list of SRD Skills and associate them with their corresponding ability scores (e.g., Athletics -> Strength)."
"FR34: Implement SRD Equipment","The system shall implement SRD Equipment items (Adventuring Gear, Armor, Weapons, Tools), including their cost, weight, and relevant properties (AC for armor, damage/type for weapons)."
"FR35: Implement SRD Equip Packs","The system shall implement SRD starting Equipment Packs (Burglar's, Diplomat's, Dungeoneer's, etc.)."
"FR40: Character Creation Steps Guide","The system shall guide the Player through the character creation steps: Ability Scores, Race selection, Class selection, Background selection, Skill/Proficiency selection, Equipment selection, Descriptive details."
"FR41: Support Ability Score Methods","The system shall support standard methods for ability score generation (e.g., Standard Array, Point Buy)."
"FR42: Apply Racial Modifiers","The system shall apply racial ability score modifiers correctly."
"FR43: Allow Proficiency Selection","The system shall allow selection of skill/tool proficiencies granted by Race, Class, and Background from valid options."
"FR44: Provide Starting Equip Options","The system shall provide options for starting equipment (class/background packs or starting gold based on class)."
"FR45: Player Create Character","The system shall allow authenticated Players to create new characters, saving all selected and calculated data. *(Backend model exists, endpoint needed)*"
"FR46: Player View Character List","The system shall allow a Player to view a list of characters they own."
"FR47: Retrieve Character Details","The system shall allow a Player or an Operator to retrieve the full details of a specific character."
"FR48: Player Update Character","The system shall allow a Player to update the details (name, stats, level, description etc.) of a character they own."
"FR49: Player Delete Character","The system shall allow a Player to delete a character they own."
"FR50: Implement Leveling Up","The system shall implement character leveling up, including increasing max HP (rolling hit dice or taking average), gaining new class features, and tracking proficiency bonus increases."
"FR51: Enforce SRD Rules/Prereqs","The system shall enforce SRD rules and prerequisites during character creation and leveling (e.g., multiclassing prerequisites)."
"FR60: Calculate Ability Modifiers","The system shall calculate ability score modifiers based on ability scores."
"FR61: Calculate Skill Bonuses","The system shall calculate skill bonuses (Ability Modifier + Proficiency Bonus if proficient)."
"FR62: Calculate Saving Throws","The system shall calculate saving throw bonuses (Ability Modifier + Proficiency Bonus if proficient)."
"FR63: Calculate Passive Perception","The system shall calculate Passive Perception (10 + Perception skill bonus)."
"FR64: Calculate Armor Class (AC)","The system shall calculate Armor Class (AC) based on equipped armor, shields, Dexterity modifier, and other applicable features (e.g., Unarmored Defense)."
"FR65: Calculate Initiative","The system shall calculate Initiative bonus (Dexterity modifier)."
"FR66: Calculate Attack/Damage Bonus","The system shall calculate attack and damage bonuses for equipped weapons based on relevant ability scores (Strength or Dexterity) and proficiency bonus."
"FR67: Calculate Carrying Capacity","The system shall calculate character carrying capacity based on Strength score (Strength score x 15 pounds per SRD)."
"FR68: Calculate Inventory Weight","The system shall calculate the total weight of the character's inventory."
"FR69: Indicate Encumbrance","The system shall indicate if a character is encumbered based on inventory weight vs. carrying capacity (optional SRD variant rule, consider if implementing)."
"FR70: Player View Inventory","The system shall allow Players to view their character's inventory, categorized (e.g., Weapons, Armor, Gear)."
"FR71: Player Add/Remove Items","The system shall allow Players to add/remove items from the SRD equipment list to/from their inventory."
"FR72: Player Manage Item Quantities","The system shall allow Players to manage quantities for stackable items."
"FR73: Player Equip/Unequip Items","The system shall allow Players to equip/unequip armor, shields, and weapons."
"FR74: Track Character Currency","The system shall track currency (CP, SP, EP, GP, PP) for each character."
"FR75: Deduct Currency on Purchase","The system shall deduct currency when items are ""purchased"" (if implementing starting wealth or shopping)."
"FR76: Enforce Inventory Limits","The system shall enforce inventory limits based on carrying capacity/encumbrance rules if implemented."
"FR80: Maintainer Create Background","The system shall allow Maintainers to create new character Backgrounds with a unique name and description."
"FR81: Maintainer List Backgrounds","The system shall allow Maintainers to list all available Backgrounds."
"FR82: Maintainer Update Background","The system shall allow Maintainers to update existing Backgrounds."
"FR83: Maintainer Delete Background","The system shall allow Maintainers to delete existing Backgrounds."
"FR84: Player View/Select Background","Players shall be able to view and select from the list of available SRD Backgrounds."
"FR85: Provide SRD Data Read Access","The system shall provide read access (potentially managed by Maintainers) to SRD Race, Class, Skill, and Equipment data used by the application logic."
"FR90: htmx Partial Page Updates","User interactions on the character sheet (e.g., editing a stat, equipping an item) shall trigger partial page updates using `htmx`."
"FR91: htmx Inline Validation","Forms submitted via `htmx` shall provide validation feedback inline or near the relevant fields without a full page reload."
"FR92: htmx Dependent Field Updates","Changes to core character data (e.g., ability score, level, equipped items) shall trigger `htmx` updates to all dependent calculated fields (e.g., modifiers, skills, AC, attack bonuses, carrying capacity) displayed on the sheet."
"FR93: htmx Loading Indicators","The frontend shall provide visual indicators during `htmx` requests."
